user_id,tariff_plan,date_start
166836,C,21/08/2019
167030,C,29/08/2019
166812,C,20/08/2019
167034,C,29/08/2019
167014,C,28/08/2019
166974,C,27/08/2019
166868,C,22/08/2019
166679,C,14/08/2019
166575,C,09/08/2019
167035,C,29/08/2019
166918,C,23/08/2019
166460,C,05/08/2019
166396,C,01/08/2019
166703,C,15/08/2019
166835,C,21/08/2019
166604,C,12/08/2019
166792,C,19/08/2019
166767,C,19/08/2019
166979,C,27/08/2019
166959,C,26/08/2019
166926,C,23/08/2019
166621,C,12/08/2019
166708,C,15/08/2019
166745,C,16/08/2019
166744,C,16/08/2019
166717,C,16/08/2019
166803,C,20/08/2019
166511,C,06/08/2019
166677,C,14/08/2019
166636,C,12/08/2019
166691,C,15/08/2019
166566,C,08/08/2019
166671,C,14/08/2019
166491,C,06/08/2019
166649,C,13/08/2019
166573,C,09/08/2019
166392,C,01/08/2019
166520,C,07/08/2019
166555,C,08/08/2019
166540,C,07/08/2019
166410,C,02/08/2019
166497,C,06/08/2019
166468,C,05/08/2019
166373,C,01/08/2019
166387,C,01/08/2019
166876,C,22/08/2019
166903,C,23/08/2019
166388,C,01/08/2019
167933,C,07/10/2019
168466,C,28/10/2019
167721,C,26/09/2019
167473,C,18/09/2019
167568,C,20/09/2019
167440,C,17/09/2019
168366,C,23/10/2019
168119,C,14/10/2019
168093,C,14/10/2019
167994,C,09/10/2019
167905,C,04/10/2019
167690,C,25/09/2019
167301,C,11/09/2019
166773,C,19/08/2019
167553,C,20/09/2019
167704,C,26/09/2019
167213,C,06/09/2019
167273,C,10/09/2019
167025,C,28/08/2019
166761,C,19/08/2019
166692,C,15/08/2019
166644,C,13/08/2019
166655,C,13/08/2019
166391,C,01/08/2019
168488,C,28/10/2019
167837,C,02/10/2019
167112,C,02/09/2019
167613,C,23/09/2019
167220,C,06/09/2019
167042,C,29/08/2019
166652,C,13/08/2019
166424,C,02/08/2019
166376,C,01/08/2019
167407,C,16/09/2019
167507,C,18/09/2019
167510,C,19/09/2019
167282,C,10/09/2019
167244,C,09/09/2019
168013,C,09/10/2019
168077,C,11/10/2019
167227,C,06/09/2019
167053,C,29/08/2019
167011,C,28/08/2019
167759,C,27/09/2019
166900,C,23/08/2019
167446,C,17/09/2019
167318,C,11/09/2019
167245,C,09/09/2019
166902,C,23/08/2019
166469,C,05/08/2019
166505,C,06/08/2019
166965,C,27/08/2019
166584,C,09/08/2019
166490,C,06/08/2019
166545,C,08/08/2019
166412,C,02/08/2019
167830,C,02/10/2019
167647,C,24/09/2019
167189,C,05/09/2019
167125,C,03/09/2019
166507,C,06/08/2019
166666,C,14/08/2019
166936,C,26/08/2019
166390,C,01/08/2019
166727,C,16/08/2019
167819,C,01/10/2019
166398,C,01/08/2019
166579,C,09/08/2019
166693,C,15/08/2019
166399,C,01/08/2019
166957,C,26/08/2019
167474,C,18/09/2019
166375,C,01/08/2019
167645,C,24/09/2019
167051,C,29/08/2019
167160,C,04/09/2019
167144,C,04/09/2019
167129,C,03/09/2019
167113,C,02/09/2019
167663,C,24/09/2019
166946,C,26/08/2019
166908,C,23/08/2019
166955,C,26/08/2019
166993,C,28/08/2019
166842,C,21/08/2019
167263,B,10/09/2019
167657,B,24/09/2019
167061,B,29/08/2019
168103,B,14/10/2019
167122,B,02/09/2019
168106,B,14/10/2019
167652,B,24/09/2019
167840,B,02/10/2019
168047,B,10/10/2019
167250,B,09/09/2019
168237,B,17/10/2019
168500,B,28/10/2019
167095,B,31/08/2019
167077,B,30/08/2019
167929,B,07/10/2019
168212,B,17/10/2019
167972,B,08/10/2019
166406,B,02/08/2019
167908,B,04/10/2019
166678,B,14/08/2019
168567,B,30/10/2019
166405,B,02/08/2019
166785,B,19/08/2019
168291,B,21/10/2019
168550,B,30/10/2019
167419,B,16/09/2019
168526,B,29/10/2019
168329,B,22/10/2019
168078,B,11/10/2019
168490,B,28/10/2019
168417,B,24/10/2019
167969,B,08/10/2019
167479,B,18/09/2019
168562,B,30/10/2019
168243,B,17/10/2019
168222,B,17/10/2019
166495,B,06/08/2019
168000,B,09/10/2019
167375,B,13/09/2019
166591,B,09/08/2019
168173,B,15/10/2019
168513,B,29/10/2019
168603,B,31/10/2019
168091,B,14/10/2019
166654,B,13/08/2019
168574,B,31/10/2019
